2025-10-11 01:20:58 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:20:58 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:20:59 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:20:59 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:20:59 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:20:59 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:00 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:00 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:00 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:00 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:01 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:01 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:01 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:01 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:02 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:02 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:02 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:02 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:03 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:03 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:03 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:03 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:04 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:04 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:05 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:05 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:05 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:05 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:06 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:06 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:06 EEST | INFO     | trading_bot |   Progress: 11.1% (10/90 days) - ICXUSDT 15m
2025-10-11 01:21:06 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:06 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:07 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:07 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:08 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:08 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:08 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:08 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:09 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:09 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:09 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:09 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:10 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:10 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:11 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:11 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:11 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:11 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:12 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:12 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:12 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:12 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:13 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:13 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:13 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:13 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:14 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:14 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:15 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:15 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:15 EEST | INFO     | trading_bot |   Progress: 22.2% (20/90 days) - ICXUSDT 15m
2025-10-11 01:21:15 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:15 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:16 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:16 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:16 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:16 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
2025-10-11 01:21:16 EEST | INFO     | trading_bot | BTC H1 impulse detected: 1.84% (>0.8%)
2025-10-11 01:21:17 EEST | INFO     | trading_bot | BTC expansion detected: ATR=1988.56 (avg=1011.67)
