2025-10-11 15:23:56 EEST | INFO     | trading_bot | Database initialized at data/trading_bot.db
2025-10-11 15:24:16 EEST | WARNING  | trading_bot | Redis unavailable (Timeout connecting to server), using SQLite fallback for signal locks
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: Donchian Breakout
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: Squeeze Breakout
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: ORB/IRB
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: MA/VWAP Pullback
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: Break & Retest
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: ATR Momentum
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: VWAP Mean Reversion
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: Range Fade
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: Volume Profile
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: RSI/Stoch MR
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: Liquidity Sweep
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: Order Flow
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: CVD Divergence
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: Time-of-Day
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: Cash-and-Carry
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered strategy: Market Making
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Registered 16 strategies
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Active strategies: 15
2025-10-11 15:24:16 EEST | INFO     | trading_bot | ============================================================
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Trading Bot Starting...
2025-10-11 15:24:16 EEST | INFO     | trading_bot | ============================================================
2025-10-11 15:24:16 EEST | WARNING  | trading_bot | 🔔 SIGNALS-ONLY MODE: Bot will generate signals without real trading
2025-10-11 15:24:16 EEST | WARNING  | trading_bot | 🔔 No API keys required in this mode
2025-10-11 15:24:16 EEST | WARNING  | trading_bot | ⚠️ Signals-Only Mode: API keys disabled, trading functions unavailable
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Initializing bot...
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Rate limit status: 0/1100
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Fetching USDT-M futures pairs by volume...
2025-10-11 15:24:16 EEST | INFO     | trading_bot | Found 513 USDT-M perpetual futures pairs
2025-10-11 15:24:17 EEST | INFO     | trading_bot | Filtered to 439 pairs with volume >= $10,000,000
2025-10-11 15:24:17 EEST | INFO     | trading_bot | Starting parallel data loading for 439 symbols...
2025-10-11 15:24:17 EEST | INFO     | trading_bot | Background tasks started (loader + analyzer + symbol updater running in parallel)
2025-10-11 15:24:17 EEST | INFO     | trading_bot | Bot will start analyzing symbols as soon as their data is loaded
2025-10-11 15:24:17 EEST | INFO     | trading_bot | 📊 Signal Performance Tracker started (check interval: 60s)
2025-10-11 15:24:17 EEST | INFO     | trading_bot | Symbol loader task started
2025-10-11 15:24:17 EEST | INFO     | trading_bot | [1/439] Checking BTCUSDT... (0.2%)
2025-10-11 15:24:17 EEST | INFO     | trading_bot |   [1/4] 🔄 BTCUSDT 15m - gap detected, updating from 2025-10-11 12:01
2025-10-11 15:24:17 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-11 12:01:00+00:00 to 2025-10-11 12:24:17.765453+00:00 (1 days)
2025-10-11 15:24:17 EEST | INFO     | trading_bot | Symbol analyzer task started
2025-10-11 15:24:17 EEST | INFO     | trading_bot | 📊 Symbol auto-update started (interval: 1h)
2025-10-11 15:24:17 EEST | INFO     | trading_bot | 📊 Signal Performance Tracker started
2025-10-11 15:24:17 EEST | INFO     | trading_bot | Telegram bot started with polling
2025-10-11 15:24:18 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BTCUSDT 15m
2025-10-11 15:24:18 EEST | INFO     | trading_bot | Saved 1 klines for BTCUSDT 15m
2025-10-11 15:24:18 EEST | INFO     | trading_bot |   [2/4] 🔄 BTCUSDT 1h - gap detected, updating from 2025-10-11 12:01
2025-10-11 15:24:18 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 1h from 2025-10-11 12:01:00+00:00 to 2025-10-11 12:24:17.765453+00:00 (1 days)
2025-10-11 15:24:18 EEST | INFO     | trading_bot | Startup message sent to Telegram
2025-10-11 15:24:18 EEST | INFO     | trading_bot | Initialization complete
2025-10-11 15:24:18 EEST | INFO     | trading_bot | Starting main loop...
2025-10-11 15:24:18 EEST | INFO     | trading_bot | All 16 strategies will run simultaneously
2025-10-11 15:24:18 EEST | INFO     | trading_bot | 📅 Current time: 12:24:18 UTC
2025-10-11 15:24:18 EEST | INFO     | trading_bot | 📅 Next 15m update: 12:30 UTC
2025-10-11 15:24:18 EEST | INFO     | trading_bot | 📅 Next 1h update: 13:00 UTC
2025-10-11 15:24:18 EEST | INFO     | trading_bot | 📅 Next 4h update: 16:00 UTC
2025-10-11 15:24:18 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BTCUSDT 1h
2025-10-11 15:24:18 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 1h
2025-10-11 15:24:18 EEST | INFO     | trading_bot |   [3/4] 🔄 BTCUSDT 4h - gap detected, updating from 2025-10-11 12:01
2025-10-11 15:24:18 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 4h from 2025-10-11 12:01:00+00:00 to 2025-10-11 12:24:17.765453+00:00 (1 days)
2025-10-11 15:24:18 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BTCUSDT 4h
2025-10-11 15:24:18 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 4h
2025-10-11 15:24:18 EEST | INFO     | trading_bot |   [4/4] 🔄 BTCUSDT 1d - gap detected, updating from 2025-10-11 00:01
2025-10-11 15:24:18 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 1d from 2025-10-11 00:01:00+00:00 to 2025-10-11 12:24:17.765453+00:00 (1 days)
2025-10-11 15:24:19 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BTCUSDT 1d
2025-10-11 15:24:19 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 1d
2025-10-11 15:24:19 EEST | INFO     | trading_bot | ✓ BTCUSDT loaded and ready for analysis
2025-10-11 15:24:19 EEST | INFO     | trading_bot | [2/439] Checking ETHUSDT... (0.5%)
2025-10-11 15:24:19 EEST | INFO     | trading_bot |   [1/4] 🔄 ETHUSDT 15m - gap detected, updating from 2025-10-11 12:01
2025-10-11 15:24:19 EEST | INFO     | trading_bot | Downloading historical klines for ETHUSDT 15m from 2025-10-11 12:01:00+00:00 to 2025-10-11 12:24:19.279592+00:00 (1 days)
2025-10-11 15:24:19 EEST | INFO     | trading_bot | ✅ BTCUSDT ready for analysis (1 symbols analyzing)
2025-10-11 15:24:19 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ETHUSDT 15m
2025-10-11 15:24:19 EEST | INFO     | trading_bot | Saved 1 klines for ETHUSDT 15m
2025-10-11 15:24:19 EEST | INFO     | trading_bot |   [2/4] 🔄 ETHUSDT 1h - gap detected, updating from 2025-10-11 12:01
2025-10-11 15:24:19 EEST | INFO     | trading_bot | Downloading historical klines for ETHUSDT 1h from 2025-10-11 12:01:00+00:00 to 2025-10-11 12:24:19.279592+00:00 (1 days)
2025-10-11 15:24:20 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ETHUSDT 1h
2025-10-11 15:24:20 EEST | INFO     | trading_bot | Saved 0 klines for ETHUSDT 1h
2025-10-11 15:24:20 EEST | INFO     | trading_bot |   [3/4] 🔄 ETHUSDT 4h - gap detected, updating from 2025-10-11 12:01
2025-10-11 15:24:20 EEST | INFO     | trading_bot | Downloading historical klines for ETHUSDT 4h from 2025-10-11 12:01:00+00:00 to 2025-10-11 12:24:19.279592+00:00 (1 days)
2025-10-11 15:24:20 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ETHUSDT 4h
2025-10-11 15:24:20 EEST | INFO     | trading_bot | Saved 0 klines for ETHUSDT 4h
2025-10-11 15:24:20 EEST | INFO     | trading_bot |   [4/4] 🔄 ETHUSDT 1d - gap detected, updating from 2025-10-11 00:01
2025-10-11 15:24:20 EEST | INFO     | trading_bot | Downloading historical klines for ETHUSDT 1d from 2025-10-11 00:01:00+00:00 to 2025-10-11 12:24:19.279592+00:00 (1 days)
