2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.96s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.96s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.96s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.96s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.96s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.96s
2025-10-14 12:33:04 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2470+0, binance=2540 (diff: +70)
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2540+0, binance=2480 (diff: -60)
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2520+0, binance=2600 (diff: +80)
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.97s
2025-10-14 12:33:04 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2580+0, binance=2640 (diff: +60)
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
