2025-10-15 08:08:15 EEST | INFO     | 🔍 АНАЛИЗ: RUNEUSDT | Режим: TREND | Bias: bearish
2025-10-15 08:08:16 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-15 08:08:16 EEST | DEBUG    |   ⏭️  Donchian Breakout - отключена
2025-10-15 08:08:16 EEST | DEBUG    |   ⏭️  Squeeze Breakout - отключена
2025-10-15 08:08:16 EEST | DEBUG    |   ⏭️  ORB/IRB - отключена
2025-10-15 08:08:16 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (4h)
2025-10-15 08:08:16 EEST | DEBUG    |     ❌ Объем низкий: 0.29x < 0.72x (адаптивный)
2025-10-15 08:08:16 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-15 08:08:16 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -20: ADX слишком слабый (10.1 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -19: ADX слишком слабый (10.6 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -18: ADX слишком слабый (11.0 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -17: ADX слишком слабый (10.7 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -16: ADX слишком слабый (10.4 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -15: ADX слишком слабый (11.2 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -14: ADX слишком слабый (12.2 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -13: ADX слишком слабый (11.8 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -12: ADX слишком слабый (11.5 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -11: ADX слишком слабый (11.2 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -10: ADX слишком слабый (11.8 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -9: ADX слишком слабый (12.1 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -8: ADX слишком слабый (11.5 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -7: ADX слишком слабый (11.0 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -6: ADX слишком слабый (10.6 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -5: ADX слишком слабый (11.0 < 20)
