2025-10-18 11:03:02 EEST | INFO     | trading_bot | Downloading historical klines for SAHARAUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:02.204575+00:00 (1 days)
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Updating missing candles for SAHARAUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Downloading historical klines for SAHARAUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:02.206585+00:00 (1 days)
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Updating missing candles for ICNTUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Downloading historical klines for ICNTUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:02.207576+00:00 (1 days)
2025-10-18 11:03:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SOONUSDT 4h
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Saved 1 klines for SOONUSDT 4h
2025-10-18 11:03:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - MERLUSDT 15m
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Saved 2 klines for MERLUSDT 15m
2025-10-18 11:03:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - MERLUSDT 1h
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Saved 1 klines for MERLUSDT 1h
2025-10-18 11:03:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - MERLUSDT 4h
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Saved 1 klines for MERLUSDT 4h
2025-10-18 11:03:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - HYPEUSDT 15m
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Saved 2 klines for HYPEUSDT 15m
2025-10-18 11:03:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - HYPEUSDT 1h
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Saved 1 klines for HYPEUSDT 1h
2025-10-18 11:03:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - HYPEUSDT 4h
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Saved 1 klines for HYPEUSDT 4h
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Updating missing candles for ICNTUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Downloading historical klines for ICNTUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:02.248579+00:00 (1 days)
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Updating missing candles for ICNTUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Downloading historical klines for ICNTUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:02.251579+00:00 (1 days)
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Updating missing candles for PUMPUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Downloading historical klines for PUMPUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:02.253577+00:00 (1 days)
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Updating missing candles for PUMPUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Downloading historical klines for PUMPUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:02.255578+00:00 (1 days)
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Updating missing candles for PUMPUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Downloading historical klines for PUMPUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:02.257579+00:00 (1 days)
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Updating missing candles for VELVETUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Downloading historical klines for VELVETUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:02.261604+00:00 (1 days)
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Updating missing candles for VELVETUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Downloading historical klines for VELVETUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:02.264606+00:00 (1 days)
2025-10-18 11:03:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BDXNUSDT 15m
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Saved 2 klines for BDXNUSDT 15m
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Updating missing candles for VELVETUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Downloading historical klines for VELVETUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:02.271594+00:00 (1 days)
2025-10-18 11:03:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BDXNUSDT 1h
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Saved 1 klines for BDXNUSDT 1h
2025-10-18 11:03:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - AXLUSDT 15m
2025-10-18 11:03:02 EEST | INFO     | trading_bot | Saved 80 klines for AXLUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   [2/4] 🔄 AXLUSDT 1h - gap detected, updating from 2025-10-17 11:01
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for AXLUSDT 1h from 2025-10-17 11:01:00+00:00 to 2025-10-18 08:03:01.946215+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - APEUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for APEUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for APEUSDT 4h from 2025-10-18 06:00:32.387442+00:00 to 2025-10-18 08:00:32.387442+00:00 (1 days)
2025-10-18 11:03:03 EEST | WARNING  | trading_bot | ⚠️ Rate limit threshold reached (55.4% of limit), pausing for 57.8s (current: 1181+139/1320)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for TAUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for TAUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.167654+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - OPUSDT 15m
