2025-10-19 05:14:32 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=118+21, binance=10 (diff: -108)
2025-10-19 05:14:32 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - XMRUSDT 1h
2025-10-19 05:14:32 EEST | INFO     | trading_bot | Saved 1 klines for XMRUSDT 1h
2025-10-19 05:14:32 EEST | INFO     | trading_bot | Downloading historical klines for BNBUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:14:32 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DASHUSDT 1h
2025-10-19 05:14:32 EEST | INFO     | trading_bot | Saved 1 klines for DASHUSDT 1h
2025-10-19 05:14:32 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ADAUSDT 1h
2025-10-19 05:14:32 EEST | INFO     | trading_bot | Saved 1 klines for ADAUSDT 1h
2025-10-19 05:14:32 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ZECUSDT 15m
2025-10-19 05:14:32 EEST | INFO     | trading_bot | Saved 1 klines for ZECUSDT 15m
2025-10-19 05:14:32 EEST | INFO     | trading_bot | Downloading historical klines for ZECUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:14:32 EEST | INFO     | trading_bot | Signal generated: Break & Retest | MAGICUSDT SHORT | Score: 5.06 | Entry: MARKET
2025-10-19 05:15:00 EEST | INFO     | trading_bot | MAGICUSDT SHORT scoring breakdown:
  Base: 5.1 | Vol: +1.0 (ratio=3.61) | CVD: 0 (val=0) | ΔOI: 0 (-0.27%) | Imbalance: 0 (ratio=0.18) | Funding: 0 | BTC: 0 (down 0.21%, neutral)
  Final Score: 6.1
2025-10-19 05:15:00 EEST | INFO     | trading_bot | 🔒 Lock acquired (SQLite): MAGICUSDT SHORT (Break & Retest) TTL=3600s
2025-10-19 05:15:00 EEST | INFO     | trading_bot | ✅ VALID SIGNAL: Break & Retest | MAGICUSDT SHORT @ 0.1405 | Score: 6.1 | SL: 0.1413 | TP1: 0.1393 | TP2: 0.1385
2025-10-19 05:15:00 EEST | INFO     | trading_bot | Downloading historical klines for ATOMUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:00 EEST | INFO     | trading_bot | Downloading historical klines for BATUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:00 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BNBUSDT 15m
2025-10-19 05:15:00 EEST | INFO     | trading_bot | Saved 2 klines for BNBUSDT 15m
2025-10-19 05:15:00 EEST | INFO     | trading_bot | Downloading historical klines for BNBUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:00 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ZECUSDT 1h
2025-10-19 05:15:00 EEST | INFO     | trading_bot | Saved 1 klines for ZECUSDT 1h
2025-10-19 05:15:00 EEST | INFO     | trading_bot | Downloading historical klines for THETAUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:00 EEST | INFO     | trading_bot | 💾 Signal saved to DB: MAGICUSDT SHORT (ID: 60, Strategy ID: 949095948)
2025-10-19 05:15:00 EEST | INFO     | trading_bot | 🔒 Break & Retest: MAGICUSDT blocked (active signal)
2025-10-19 05:15:11 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BNBUSDT 1h
2025-10-19 05:15:11 EEST | INFO     | trading_bot | Saved 1 klines for BNBUSDT 1h
2025-10-19 05:15:11 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - THETAUSDT 15m
2025-10-19 05:15:11 EEST | INFO     | trading_bot | Saved 2 klines for THETAUSDT 15m
2025-10-19 05:15:11 EEST | INFO     | trading_bot | Downloading historical klines for THETAUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:11 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=83+29, binance=10 (diff: -73)
2025-10-19 05:15:11 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ATOMUSDT 15m
2025-10-19 05:15:11 EEST | INFO     | trading_bot | Saved 2 klines for ATOMUSDT 15m
2025-10-19 05:15:11 EEST | INFO     | trading_bot | Downloading historical klines for ATOMUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:11 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BATUSDT 15m
2025-10-19 05:15:11 EEST | INFO     | trading_bot | Saved 2 klines for BATUSDT 15m
2025-10-19 05:15:11 EEST | INFO     | trading_bot | Downloading historical klines for BATUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:11 EEST | INFO     | trading_bot | ✅ OI History OK for EDUUSDT: 30 records
2025-10-19 05:15:11 EEST | INFO     | trading_bot | 📊 EDUUSDT OI: Current=21330076, Delta=-201480, DOI%=-0.94%
2025-10-19 05:15:11 EEST | WARNING  | trading_bot | ⏳ Previous signal check still running, skipping this cycle
2025-10-19 05:15:11 EEST | INFO     | trading_bot | Downloading historical klines for ALGOUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:11 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - THETAUSDT 1h
2025-10-19 05:15:11 EEST | INFO     | trading_bot | Saved 1 klines for THETAUSDT 1h
2025-10-19 05:15:11 EEST | INFO     | trading_bot | Downloading historical klines for COMPUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
