2025-10-19 08:15:08 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - MAGICUSDT 15m
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Saved 1 klines for MAGICUSDT 15m
2025-10-19 08:15:09 EEST | INFO     | trading_bot | 🔄 Binance counter reset: 1641→1631, cleared pending=0
2025-10-19 08:15:09 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - FETUSDT 1h
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Saved 0 klines for FETUSDT 1h
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Updating missing candles for TIAUSDT 1h from 2025-10-19 04:01:00+00:00
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Downloading historical klines for TIAUSDT 1h from 2025-10-19 04:01:00+00:00 to 2025-10-19 05:15:09.004562+00:00 (1 days)
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Updating missing candles for TIAUSDT 4h from 2025-10-18 20:01:00+00:00
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Downloading historical klines for TIAUSDT 4h from 2025-10-18 20:01:00+00:00 to 2025-10-19 05:15:09.006564+00:00 (1 days)
2025-10-19 08:15:09 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - MAGICUSDT 1h
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Saved 0 klines for MAGICUSDT 1h
2025-10-19 08:15:09 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - MAGICUSDT 4h
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Saved 1 klines for MAGICUSDT 4h
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Updating missing candles for CAKEUSDT 15m from 2025-10-19 04:46:00+00:00
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Downloading historical klines for CAKEUSDT 15m from 2025-10-19 04:46:00+00:00 to 2025-10-19 05:15:09.012563+00:00 (1 days)
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Updating missing candles for CAKEUSDT 1h from 2025-10-19 04:01:00+00:00
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Downloading historical klines for CAKEUSDT 1h from 2025-10-19 04:01:00+00:00 to 2025-10-19 05:15:09.015584+00:00 (1 days)
