2025-10-20 11:58:35 EEST | INFO     | trading_bot | Saved 0 klines for HBARUSDT 15m
2025-10-20 11:58:35 EEST | INFO     | trading_bot | Downloading historical klines for HBARUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:35 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - HBARUSDT 1h
2025-10-20 11:58:35 EEST | INFO     | trading_bot | Saved 0 klines for HBARUSDT 1h
2025-10-20 11:58:35 EEST | INFO     | trading_bot | Downloading historical klines for HBARUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:35 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - HBARUSDT 4h
2025-10-20 11:58:35 EEST | INFO     | trading_bot | Saved 0 klines for HBARUSDT 4h
2025-10-20 11:58:35 EEST | INFO     | trading_bot | Downloading historical klines for HBARUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:36 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - HBARUSDT 1d
2025-10-20 11:58:36 EEST | INFO     | trading_bot | Saved 0 klines for HBARUSDT 1d
2025-10-20 11:58:36 EEST | INFO     | trading_bot | Downloading historical klines for 1000SHIBUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:36 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - 1000SHIBUSDT 15m
2025-10-20 11:58:36 EEST | INFO     | trading_bot | Saved 0 klines for 1000SHIBUSDT 15m
2025-10-20 11:58:36 EEST | INFO     | trading_bot | Downloading historical klines for 1000SHIBUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:36 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - 1000SHIBUSDT 1h
2025-10-20 11:58:36 EEST | INFO     | trading_bot | Saved 0 klines for 1000SHIBUSDT 1h
2025-10-20 11:58:36 EEST | INFO     | trading_bot | Downloading historical klines for 1000SHIBUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:37 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - 1000SHIBUSDT 4h
2025-10-20 11:58:37 EEST | INFO     | trading_bot | Saved 0 klines for 1000SHIBUSDT 4h
2025-10-20 11:58:37 EEST | INFO     | trading_bot | Downloading historical klines for 1000SHIBUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:37 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - 1000SHIBUSDT 1d
2025-10-20 11:58:37 EEST | INFO     | trading_bot | Saved 0 klines for 1000SHIBUSDT 1d
2025-10-20 11:58:37 EEST | INFO     | trading_bot | Downloading historical klines for DYDXUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:37 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DYDXUSDT 15m
2025-10-20 11:58:37 EEST | INFO     | trading_bot | Saved 0 klines for DYDXUSDT 15m
2025-10-20 11:58:37 EEST | INFO     | trading_bot | Downloading historical klines for DYDXUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:38 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DYDXUSDT 1h
2025-10-20 11:58:38 EEST | INFO     | trading_bot | Saved 0 klines for DYDXUSDT 1h
2025-10-20 11:58:38 EEST | INFO     | trading_bot | Downloading historical klines for DYDXUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:38 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DYDXUSDT 4h
2025-10-20 11:58:38 EEST | INFO     | trading_bot | Saved 0 klines for DYDXUSDT 4h
2025-10-20 11:58:38 EEST | INFO     | trading_bot | Downloading historical klines for DYDXUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:38 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DYDXUSDT 1d
2025-10-20 11:58:38 EEST | INFO     | trading_bot | Saved 0 klines for DYDXUSDT 1d
2025-10-20 11:58:38 EEST | INFO     | trading_bot | Downloading historical klines for GALAUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:39 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - GALAUSDT 15m
2025-10-20 11:58:39 EEST | INFO     | trading_bot | Saved 0 klines for GALAUSDT 15m
2025-10-20 11:58:39 EEST | INFO     | trading_bot | Downloading historical klines for GALAUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:39 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - GALAUSDT 1h
2025-10-20 11:58:39 EEST | INFO     | trading_bot | Saved 0 klines for GALAUSDT 1h
2025-10-20 11:58:39 EEST | INFO     | trading_bot | Downloading historical klines for GALAUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:39 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - GALAUSDT 4h
2025-10-20 11:58:39 EEST | INFO     | trading_bot | Saved 0 klines for GALAUSDT 4h
2025-10-20 11:58:39 EEST | INFO     | trading_bot | Downloading historical klines for GALAUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:40 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - GALAUSDT 1d
