2025-10-21 01:22:27 EEST | INFO     | trading_bot | Symbol analyzer task started
2025-10-21 01:22:27 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:27 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BTCUSDT 15m
2025-10-21 01:22:27 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-21 01:22:27 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:27 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BTCUSDT 1h
2025-10-21 01:22:27 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 1h
2025-10-21 01:22:27 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:28 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BTCUSDT 4h
2025-10-21 01:22:28 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 4h
2025-10-21 01:22:28 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:28 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BTCUSDT 1d
2025-10-21 01:22:28 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 1d
2025-10-21 01:22:28 EEST | INFO     | trading_bot | Downloading historical klines for ETHUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:28 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ETHUSDT 15m
2025-10-21 01:22:28 EEST | INFO     | trading_bot | Saved 0 klines for ETHUSDT 15m
2025-10-21 01:22:28 EEST | INFO     | trading_bot | Downloading historical klines for ETHUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:29 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ETHUSDT 1h
2025-10-21 01:22:29 EEST | INFO     | trading_bot | Saved 0 klines for ETHUSDT 1h
2025-10-21 01:22:29 EEST | INFO     | trading_bot | Downloading historical klines for ETHUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:29 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ETHUSDT 4h
2025-10-21 01:22:29 EEST | INFO     | trading_bot | Saved 0 klines for ETHUSDT 4h
2025-10-21 01:22:29 EEST | INFO     | trading_bot | Downloading historical klines for ETHUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:29 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ETHUSDT 1d
2025-10-21 01:22:29 EEST | INFO     | trading_bot | Saved 0 klines for ETHUSDT 1d
2025-10-21 01:22:29 EEST | INFO     | trading_bot | Downloading historical klines for BCHUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:30 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BCHUSDT 15m
2025-10-21 01:22:30 EEST | INFO     | trading_bot | Saved 0 klines for BCHUSDT 15m
2025-10-21 01:22:30 EEST | INFO     | trading_bot | Downloading historical klines for BCHUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:30 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BCHUSDT 1h
2025-10-21 01:22:30 EEST | INFO     | trading_bot | Saved 0 klines for BCHUSDT 1h
2025-10-21 01:22:30 EEST | INFO     | trading_bot | Downloading historical klines for BCHUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:30 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BCHUSDT 4h
2025-10-21 01:22:30 EEST | INFO     | trading_bot | Saved 0 klines for BCHUSDT 4h
2025-10-21 01:22:30 EEST | INFO     | trading_bot | Downloading historical klines for BCHUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:31 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BCHUSDT 1d
2025-10-21 01:22:31 EEST | INFO     | trading_bot | Saved 0 klines for BCHUSDT 1d
2025-10-21 01:22:31 EEST | INFO     | trading_bot | Downloading historical klines for XRPUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:31 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - XRPUSDT 15m
2025-10-21 01:22:31 EEST | INFO     | trading_bot | Saved 0 klines for XRPUSDT 15m
2025-10-21 01:22:31 EEST | INFO     | trading_bot | Downloading historical klines for XRPUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:31 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - XRPUSDT 1h
2025-10-21 01:22:31 EEST | INFO     | trading_bot | Saved 0 klines for XRPUSDT 1h
2025-10-21 01:22:31 EEST | INFO     | trading_bot | Downloading historical klines for XRPUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:31 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - XRPUSDT 4h
2025-10-21 01:22:31 EEST | INFO     | trading_bot | Saved 0 klines for XRPUSDT 4h
2025-10-21 01:22:32 EEST | INFO     | trading_bot | Downloading historical klines for XRPUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:32 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - XRPUSDT 1d
2025-10-21 01:22:32 EEST | INFO     | trading_bot | Saved 0 klines for XRPUSDT 1d
2025-10-21 01:22:32 EEST | INFO     | trading_bot | Downloading historical klines for LTCUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:32 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - LTCUSDT 15m
2025-10-21 01:22:32 EEST | INFO     | trading_bot | Saved 0 klines for LTCUSDT 15m
2025-10-21 01:22:32 EEST | INFO     | trading_bot | Downloading historical klines for LTCUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:32 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - LTCUSDT 1h
2025-10-21 01:22:32 EEST | INFO     | trading_bot | Saved 0 klines for LTCUSDT 1h
2025-10-21 01:22:33 EEST | INFO     | trading_bot | Downloading historical klines for LTCUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:33 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - LTCUSDT 4h
2025-10-21 01:22:33 EEST | INFO     | trading_bot | Saved 0 klines for LTCUSDT 4h
2025-10-21 01:22:33 EEST | INFO     | trading_bot | Downloading historical klines for LTCUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:33 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - LTCUSDT 1d
2025-10-21 01:22:33 EEST | INFO     | trading_bot | Saved 0 klines for LTCUSDT 1d
2025-10-21 01:22:33 EEST | INFO     | trading_bot | Downloading historical klines for TRXUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:33 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - TRXUSDT 15m
2025-10-21 01:22:33 EEST | INFO     | trading_bot | Saved 0 klines for TRXUSDT 15m
2025-10-21 01:22:34 EEST | INFO     | trading_bot | Downloading historical klines for TRXUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:34 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - TRXUSDT 1h
2025-10-21 01:22:34 EEST | INFO     | trading_bot | Saved 0 klines for TRXUSDT 1h
2025-10-21 01:22:34 EEST | INFO     | trading_bot | Downloading historical klines for TRXUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:34 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - TRXUSDT 4h
2025-10-21 01:22:34 EEST | INFO     | trading_bot | Saved 0 klines for TRXUSDT 4h
2025-10-21 01:22:34 EEST | INFO     | trading_bot | Downloading historical klines for TRXUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:34 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - TRXUSDT 1d
2025-10-21 01:22:34 EEST | INFO     | trading_bot | Saved 0 klines for TRXUSDT 1d
2025-10-21 01:22:34 EEST | INFO     | trading_bot | Downloading historical klines for ETCUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:35 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ETCUSDT 15m
2025-10-21 01:22:35 EEST | INFO     | trading_bot | Saved 0 klines for ETCUSDT 15m
2025-10-21 01:22:35 EEST | INFO     | trading_bot | Downloading historical klines for ETCUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:35 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ETCUSDT 1h
2025-10-21 01:22:35 EEST | INFO     | trading_bot | Saved 0 klines for ETCUSDT 1h
2025-10-21 01:22:35 EEST | INFO     | trading_bot | Downloading historical klines for ETCUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
