2025-10-21 23:15:29 EEST | INFO     | trading_bot | Fixing gap: KASUSDT 1h at 2025-10-19 01:00:00+00:00 (-1 candles)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Downloading historical klines for KASUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 00:00:00+00:00 (1 days)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Saved 0 klines for KASUSDT 1h
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Fixing gap: KASUSDT 1h at 2025-10-19 02:00:00+00:00 (-1 candles)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Downloading historical klines for KASUSDT 1h from 2025-10-19 02:00:00+00:00 to 2025-10-19 01:00:00+00:00 (1 days)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Saved 0 klines for KASUSDT 1h
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Fixing gap: KASUSDT 1h at 2025-10-19 02:00:00+00:00 (-1 candles)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Downloading historical klines for KASUSDT 1h from 2025-10-19 02:00:00+00:00 to 2025-10-19 01:00:00+00:00 (1 days)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Saved 0 klines for KASUSDT 1h
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Fixing gap: KASUSDT 1h at 2025-10-19 03:00:00+00:00 (-1 candles)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Downloading historical klines for KASUSDT 1h from 2025-10-19 03:00:00+00:00 to 2025-10-19 02:00:00+00:00 (1 days)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Saved 0 klines for KASUSDT 1h
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Fixing gap: KASUSDT 1h at 2025-10-19 03:00:00+00:00 (-1 candles)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Downloading historical klines for KASUSDT 1h from 2025-10-19 03:00:00+00:00 to 2025-10-19 02:00:00+00:00 (1 days)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Saved 0 klines for KASUSDT 1h
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Fixing gap: KASUSDT 1h at 2025-10-19 04:00:00+00:00 (-1 candles)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Downloading historical klines for KASUSDT 1h from 2025-10-19 04:00:00+00:00 to 2025-10-19 03:00:00+00:00 (1 days)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Saved 0 klines for KASUSDT 1h
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Fixing gap: KASUSDT 1h at 2025-10-19 05:00:00+00:00 (-1 candles)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Downloading historical klines for KASUSDT 1h from 2025-10-19 05:00:00+00:00 to 2025-10-19 04:00:00+00:00 (1 days)
2025-10-21 23:15:29 EEST | INFO     | trading_bot | Saved 0 klines for KASUSDT 1h
