2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 15m
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 15m at 2025-10-22 10:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 15m from 2025-10-22 10:00:00+00:00 to 2025-10-22 09:45:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 15m
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 15m at 2025-10-22 10:15:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 15m from 2025-10-22 10:15:00+00:00 to 2025-10-22 10:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 15m
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 15m at 2025-10-22 10:30:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 15m from 2025-10-22 10:30:00+00:00 to 2025-10-22 10:15:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 15m
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 15m at 2025-10-22 10:45:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 15m from 2025-10-22 10:45:00+00:00 to 2025-10-22 10:30:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 15m
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 15m at 2025-10-22 12:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 15m from 2025-10-22 12:00:00+00:00 to 2025-10-22 11:45:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 15m
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 15m at 2025-10-22 12:15:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 15m from 2025-10-22 12:15:00+00:00 to 2025-10-22 12:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 15m
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 15m at 2025-10-22 13:15:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 15m from 2025-10-22 13:15:00+00:00 to 2025-10-22 13:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 15m
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 15m at 2025-10-22 13:30:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 15m from 2025-10-22 13:30:00+00:00 to 2025-10-22 13:15:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 15m
2025-10-23 02:13:15 EEST | INFO     | trading_bot |   ✅ 15m: all 10 gaps fixed
2025-10-23 02:13:15 EEST | INFO     | trading_bot |   📈 1h: 34.1% coverage (736/2160 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot |   🔍 Found 26 gaps in 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 04:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 04:00:00+00:00 to 2025-10-18 03:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 05:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 05:00:00+00:00 to 2025-10-18 04:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
